id_task,application_type,creation_date,completion_date,time_compute (s),time_env (s),time_dl (s),time_up (s),mobo_uuid,qrad_uuid,qbox_uuid,cpu_name,nb_cores,status,dataset,dataset_size,node_id
277448,3DRender,2021-04-21 10:51:08,2021-04-21 10:54:09,109,70,1,1,4F424F4D-58D8-01D7-3B00-00D861C8FB36,44415251-58D8-01D7-3B00-000000000000,584f4251-2001-0000-0000-000000000001,AMD Ryzen 7 2700 Eight-Core Processor,8,Completed,ds3,101,2
3433401,3DRender,2022-09-17 01:16:12,2022-09-17 01:18:58,162,1,1,3,4F424F4D-ADF0-084E-AC2E-00D8619C75FF,44415251-ADF0-084E-AC2E-000000000000,584f4251-4000-0000-1000-000000000017,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds688,171,2
1797664,3DRender,2022-01-26 11:34:54,2022-01-26 11:36:02,0,55,7,0,4F424F4D-58D8-00D7-B065-00D861C8FB9F,44415251-58D8-00D7-B065-000000000000,584f4251-2000-0000-0001-000000000002,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds40,52,4
1755539,Risk,2022-01-13 06:37:10,2022-01-20 10:57:50,620305,101,26,1,4F424F4D-58D8-00D7-B137-00D861156A89,44415251-58D8-00D7-B137-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Cancelled,ds1,156,2
1384367,3DRender,2021-10-23 18:18:11,2021-10-23 18:43:01,1429,51,8,1,4F424F4D-58D8-00D7-AF24-00D861C8FB9C,44415251-58D8-00D7-AF24-000000000000,584f4251-2000-0000-0001-000000000001,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds10,52,2
465527,3DRender,2021-05-12 17:24:09,2021-05-12 17:29:55,275,59,9,2,4F424F4D-58D8-00D7-AEFA-00D861C8FBE2,44415251-58D8-00D7-AEFA-000000000000,584f4251-2000-0000-0001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds820,139,0
472994,3DRender,2021-05-13 21:09:53,2021-05-13 21:15:17,0,321,1,0,4F424F4D-58D8-01D7-3809-049226DA3CBC,44415251-58D8-01D7-3809-000000000000,584f4251-4000-0000-1000-000000000004,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Preempted,ds587,233,4
724710,3DRender,2021-06-25 13:56:33,2021-06-25 13:56:42,1,1,1,0,4F424F4D-58D8-01D7-3B00-00D861C8FB2E,44415251-58D8-01D7-3B00-000000000000,584f4251-2001-0000-0000-000000000001,AMD Ryzen 7 2700 Eight-Core Processor,8,Preempted,ds6,143,4
647562,3DRender,2021-06-10 17:25:55,2021-06-10 17:29:41,120,98,6,1,4F424F4D-58D8-01D7-3A6D-00D861156A88,44415251-58D8-01D7-3A6D-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds3,101,1
610945,Risk,2021-06-06 16:41:21,2021-06-06 16:44:23,0,0,180,1,4F424F4D-58D8-01D7-3A6D-00D861156A81,44415251-58D8-01D7-3A6D-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Failed,ds1,156,0
