id_task,application_type,creation_date,completion_date,time_compute (s),time_env (s),time_dl (s),time_up (s),mobo_uuid,qrad_uuid,qbox_uuid,cpu_name,nb_cores,status,dataset,dataset_size,node_id
376985,3DRender,2021-05-01 17:03:05,2021-05-01 17:05:53,0,151,13,0,4F424F4D-58D8-01D7-36C2-049226D9D983,44415251-58D8-01D7-36C2-000000000000,584f4251-4000-0000-1000-000000000004,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Preempted,ds169,308,4
1664609,3DRender,2021-12-31 00:18:48,2021-12-31 00:25:03,318,54,1,2,4F424F4D-58D8-00D7-B272-00D861C8FC19,44415251-58D8-00D7-B272-000000000000,584f4251-2000-0000-0001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds1,681,1
1685832,Risk,2022-01-07 14:48:53,2022-01-07 14:51:02,0,91,29,1,4F424F4D-58D8-01D7-3AB2-00D861C8FB79,44415251-58D8-01D7-3AB2-000000000000,584f4251-3000-0000-2000-000000000003,AMD Ryzen 7 2700 Eight-Core Processor,8,Preempted,ds1,681,3
2906059,Risk,2022-06-25 13:52:11,2022-06-25 14:02:18,489,108,1,1,4F424F4D-58D8-01D7-35BD-00D861156ABE,44415251-58D8-01D7-35BD-000000000000,584f4251-4000-0000-1001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds5,576,7
3104031,Risk,2022-07-20 06:29:27,2022-07-20 06:32:23,11,158,6,0,4F424F4D-ADF0-084E-AC09-00D8619C7575,44415251-ADF0-084E-AC09-000000000000,584f4251-4000-0000-1000-000000000012,AMD Ryzen 7 2700X Eight-Core Processor,8,Failed,ds2,438,4
3452234,3DRender,2022-09-22 21:00:41,2022-09-22 21:03:22,159,1,1,1,4F424F4D-58D8-01D7-3A91-00D8617B0C4D,44415251-58D8-01D7-3A91-000000000000,584f4251-4000-0000-1000-000000000006,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds11,956,7
1052124,Risk,2021-08-28 09:13:31,2021-08-28 09:15:33,0,105,10,0,4F424F4D-ADF0-084E-AC68-00D861156ABF,44415251-ADF0-084E-AC68-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds31,1009,1
2319366,3DRender,2022-04-10 02:01:06,2022-04-10 02:03:00,4,102,5,2,4F424F4D-ADF0-084E-ABEE-00D8619C76E3,44415251-ADF0-084E-ABEE-000000000000,584f4251-4000-0000-1000-000000000012,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds1,681,6
2038992,3DRender,2022-02-24 11:51:08,2022-02-24 11:53:34,141,1,1,3,4F424F4D-58D8-01D7-3A91-00D8615782BE,44415251-58D8-01D7-3A91-000000000000,584f4251-4000-0000-1000-000000000006,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds568,131,7
96672,3DRender,2021-02-18 20:20:44,2021-02-18 20:23:18,67,82,1,4,4F424F4D-58D8-00D7-B137-00D861156A9F,44415251-58D8-00D7-B137-000000000000,584f4251-4000-0000-1001-000000000005,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds12,490,5
434463,3DRender,2021-05-07 02:40:48,2021-05-07 02:43:04,0,2,1,0,4F424F4D-58D8-01D7-36C2-049226DA3D29,44415251-58D8-01D7-36C2-000000000000,584f4251-4000-0000-1000-000000000004,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Preempted,ds7,394,4
3206073,3DRender,2022-08-03 15:25:13,2022-08-03 16:01:36,1981,160,37,3,4F424F4D-ADF0-084E-ABEE-00D8619C73AA,44415251-ADF0-084E-ABEE-000000000000,584f4251-4000-0000-1000-000000000012,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds8,595,4
2028291,3DRender,2022-02-22 20:28:06,2022-02-22 20:42:40,660,161,39,1,4F424F4D-ADF0-084E-AC6B-049226DA3C62,44415251-ADF0-084E-AC6B-000000000000,584f4251-4000-0000-1000-000000000006,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds213,673,4
3626789,Sequencing,2022-10-18 10:52:36,2022-10-18 11:53:03,3081,190,124,231,4F424F4D-58D8-01D7-36C2-049226DA6540,44415251-58D8-01D7-36C2-000000000000,584f4251-4000-0000-1000-000000000004,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Completed,ds1,681,5
709237,Risk,2021-06-19 23:45:17,2021-06-22 13:08:00,220777,124,43,0,4F424F4D-58D8-01D7-3A37-00D861C8FEDD,44415251-58D8-01D7-3A37-000000000000,584f4251-3000-0000-2000-000000000002,AMD Ryzen 7 2700 Eight-Core Processor,8,Preempted,ds263,680,5
2861420,3DRender,2022-06-21 07:08:05,2022-06-21 07:46:13,435,141,1711,1,4F424F4D-58D8-01D7-3A91-00D8617B0B3F,44415251-58D8-01D7-3A91-000000000000,584f4251-4000-0000-1000-000000000006,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds1,681,7
2903717,Risk,2022-06-25 00:22:48,2022-06-25 00:33:56,450,211,1,1,4F424F4D-58D8-01D7-35BD-00D86115554F,44415251-58D8-01D7-35BD-000000000000,584f4251-4000-0000-1001-000000000003,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds879,511,3
1679026,Risk,2022-01-03 17:24:53,2022-01-05 15:37:13,166176,61,22,2,4F424F4D-58D8-00D7-B1DC-00D861C8FBD9,44415251-58D8-00D7-B1DC-000000000000,584f4251-2000-0000-0001-000000000002,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds605,319,7
3536925,Risk,2022-10-02 14:14:34,2022-10-03 06:18:14,57545,160,109,0,4F424F4D-58D8-00D7-A70E-00D8619C78A4,44415251-58D8-00D7-A70E-000000000000,584f4251-4000-0000-1000-000000000015,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds842,441,0
650726,3DRender,2021-06-11 13:09:41,2021-06-11 13:10:49,0,61,1,0,4F424F4D-58D8-01D7-3AB2-00D861C8FAC0,44415251-58D8-01D7-3AB2-000000000000,584f4251-3000-0000-2000-000000000003,AMD Ryzen 7 2700 Eight-Core Processor,8,Preempted,ds4,142,4
504803,3DRender,2021-05-15 05:29:04,2021-05-15 05:31:33,146,1,1,1,4F424F4D-58D8-01D7-3B00-00D861C8FC82,44415251-58D8-01D7-3B00-000000000000,584f4251-2001-0000-0000-000000000001,AMD Ryzen 7 2700 Eight-Core Processor,8,Completed,ds11,956,4
2625530,3DRender,2022-05-24 17:31:59,2022-05-24 17:47:48,652,102,180,14,4F424F4D-58D8-00D7-B131-00D8619C7418,44415251-58D8-00D7-B131-000000000000,584f4251-4000-0000-1000-000000000012,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds1,681,3
164305,3DRender,2021-03-17 07:20:31,2021-03-17 07:21:59,4,78,3,1,4F424F4D-58D8-01D7-3A6D-00D861156A88,44415251-58D8-01D7-3A6D-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds1,681,5
3549779,3DRender,2022-10-04 11:24:03,2022-10-04 11:26:26,139,1,1,4,4F424F4D-58D8-01D7-3A91-00D8617B0B7C,44415251-58D8-01D7-3A91-000000000000,584f4251-4000-0000-1000-000000000006,AMD Ryzen Threadripper 2990WX 32-Core Processor,32,Completed,ds380,370,4
891282,3DRender,2021-07-16 06:52:27,2021-07-16 06:52:29,1,1,1,0,4F424F4D-ADF0-084E-ABC6-00D8619C76CF,44415251-ADF0-084E-ABC6-000000000000,584f4251-4000-0000-1000-000000000012,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds9,466,4
2268070,3DRender,2022-03-28 12:00:31,2022-03-28 12:01:39,67,1,1,1,4F424F4D-58D8-01D7-365F-00D8617B0B3D,44415251-58D8-01D7-365F-000000000000,584f4251-4000-0000-1001-000000000006,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Completed,ds65,875,7
2897537,Risk,2022-06-23 10:13:05,2022-06-23 15:54:26,20359,105,13,1,4F424F4D-58D8-01D7-384B-00D8619C74D0,44415251-58D8-01D7-384B-000000000000,584f4251-4000-0000-1001-000000000001,AMD Ryzen 7 2700X Eight-Core Processor,8,Cancelled,ds13,789,3
1269656,3DRender,2021-10-06 23:42:14,2021-10-06 23:50:27,399,91,1,1,4F424F4D-ADF0-084E-AC2E-00D8619C74F3,44415251-ADF0-084E-AC2E-000000000000,584f4251-4000-0000-1000-000000000017,AMD Ryzen 7 2700X Eight-Core Processor,8,Completed,ds12,490,5
3149632,3DRender,2022-07-25 12:15:14,2022-07-25 12:19:20,61,138,42,0,4F424F4D-58D8-01D7-3647-00D861578454,44415251-58D8-01D7-3647-000000000000,584f4251-4000-0000-1000-000000000007,AMD Ryzen Threadripper 2950X 16-Core Processor,16,Cancelled,ds4,142,3
3459895,Risk,2022-09-24 16:44:48,2022-09-24 17:08:12,1216,158,26,0,4F424F4D-ADF0-084E-AC1B-00D861156AEC,44415251-ADF0-084E-AC1B-000000000000,584f4251-4000-0000-1001-000000000004,AMD Ryzen 7 2700X Eight-Core Processor,8,Preempted,ds125,536,6
174857,3DRender,2021-03-21 06:31:44,2021-03-21 06:33:33,3,58,46,1,4F424F4D-58D8-01D7-3B00-00D861C8FB58,44415251-58D8-01D7-3B00-000000000000,584f4251-2001-0000-0000-000000000001,AMD Ryzen 7 2700 Eight-Core Processor,8,Failed,ds1,681,7
